name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel
Sofia;1;4S<<;<<;4.3;;-2.06;2.24
Sofia;2;2A;;3.3;;1.25;4.55
Sofia;3;2A;;3.3;;0.99;4.29
Sofia;4;3F;;5.3;;1.59;6.89
Sofia;5;FCSp4;;3.2;;0.96;4.16
Sofia;6;ChSq1;;3.0;;1.9;4.9
Sofia;7;3Lz+3Lo;;11.88;x;1.77;13.65
Sofia;8;3Lz+1Eu+3S;;11.77;x;1.77;13.54
Sofia;9;3F+3T<;F;9.53;x;-2.65;6.88
Sofia;10;FCCoSp4;;3.5;;0.84;4.34
Sofia;11;StSq3;;3.3;;0.92;4.22
Sofia;12;CCoSp4;;3.5;;1.26;4.76
Ksenia;1;2A;;3.3;;0.92;4.22
Ksenia;2;3Lz;;5.9;;1.53;7.43
Ksenia;3;3F;F;5.3;;-2.65;2.65
Ksenia;4;2A+3T;;7.5;;0.84;8.34
Ksenia;5;FCSp4;;3.2;;0.96;4.16
Ksenia;6;ChSq1;;3.0;;1.2;4.2
Ksenia;7;2Lz+1Eu+3S;;7.59;x;0.17;7.76
Ksenia;8;3Lo+2T;;6.82;x;0.98;7.8
Ksenia;9;3Lo;;5.39;x;1.18;6.57
Ksenia;10;CCoSp3;;3.0;;0.9;3.9
Ksenia;11;StSq2;;2.6;;0.68;3.28
Ksenia;12;LSp3;;2.4;;0.67;3.07
Arina;1;3F+1Eu+3Sq;q;10.1;;-0.74;9.36
Arina;2;3Lz!+2T;!;7.2;;-0.24;6.96
Arina;3;3Lo;;4.9;;0.59;5.49
Arina;4;3Fq;q;5.3;;-0.53;4.77
Arina;5;FSSp3;;2.6;;0.47;3.07
Arina;6;StSq2;;2.6;;0.36;2.96
Arina;7;2A+3T;;8.25;x;0.84;9.09
Arina;8;3Lz!;!;6.49;x;-0.47;6.02
Arina;9;LSp2;;1.9;;0.34;2.24
Arina;10;2A;;3.63;x;0.53;4.16
Arina;11;ChSq1;;3.0;;1.3;4.3
Arina;12;CCoSp4;;3.5;;0.63;4.13
Agneta;1;3Lz+2T;;7.2;;1.18;8.38
Agneta;2;3F<;<;4.24;;-1.19;3.05
Agneta;3;2A+3T;;7.5;;0.76;8.26
Agneta;4;3Lo;;4.9;;0.39;5.29
Agneta;5;CCoSp3;;3.0;;0.54;3.54
Agneta;6;3Lzq;q;6.49;x;-1.18;5.31
Agneta;7;2A+1Eu+3S<;<;7.96;x;-0.69;7.27
Agneta;8;3T;;4.62;x;0.42;5.04
Agneta;9;StSq2;;2.6;;0.26;2.86
Agneta;10;FCCoSp2V;nS;1.88;;0.11;1.99
Agneta;11;ChSq1;;3.0;;0.5;3.5
Agneta;12;LSp3;;2.4;;0.29;2.69